InvoiceID,Branch,City,Customertype,Gender,Productline,Unitprice,Quantity,Tax5%,Total,Date,Time,Payment,cogs,grossmarginpercentage,grossincome,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,2019-01-05,13:08:00,Ewallet,522.83,4.76,26.14,9.10
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.40,4.76,3.82,9.60
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,340.53,2019-03-03,13:23:00,Credit card,324.31,4.76,16.22,7.40
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.76,23.29,8.40
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634.38,2019-02-08,10:37:00,Ewallet,604.17,4.76,30.21,5.30
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,627.62,2019-03-25,18:30:00,Ewallet,597.73,4.76,29.89,4.10
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2019-02-25,14:36:00,Ewallet,413.04,4.76,20.65,5.80
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.60,4.76,36.78,8.00
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,2019-01-10,17:15:00,Credit card,72.52,4.76,3.63,7.20
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2019-02-20,13:27:00,Credit card,164.52,4.76,8.23,5.90
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.90,60.82,2019-02-06,18:07:00,Ewallet,57.92,4.76,2.90,4.50
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.10,107.14,2019-03-09,17:03:00,Cash,102.04,4.76,5.10,6.80
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246.49,2019-02-12,10:25:00,Ewallet,234.75,4.76,11.74,7.10
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.60,453.50,2019-02-07,16:48:00,Ewallet,431.90,4.76,21.60,8.20
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,713.80,4.76,35.69,5.70
